,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
7852,,,,,0.2144,83.0,0.8654,90,,,0.0,88.0
7853,,,,,0.0,85.0,0.4588,90,,,0.8199,86.0
7854,,,,,0.6597,85.0,0.4588,90,,,0.0,87.0
7855,,,,,0.3182,85.0,0.3612,90,,,0.5927,89.0
7856,,,,,0.7351,85.0,0.0,90,,,0.8481,89.0
7857,,,,,0.0,85.0,0.7543,90,,,0.8338,89.0
7858,,,,,0.8779,85.0,0.8622,89,,,-0.1406,91.0
7859,,,,,0.8689,85.0,0.7351,89,,,0.0,87.0
7860,,,,,0.5859,85.0,0.8779,89,,,0.0,86.0
7861,,,,,0.8305,85.0,0.0,89,,,0.0516,86.0
7862,,,,,0.8591,85.0,0.3664,89,,,0.0,86.0
7863,,,,,0.7845,85.0,0.0,89,,,-0.5023,84.0
7864,,,,,0.5423,85.0,0.872,89,,,0.2023,84.0
7865,,,,,0.0,85.0,0.4939,91,,,0.3612,84.0
7866,,,,,0.6597,85.0,0.6378,91,,,0.4939,84.0
7867,,,,,-0.2732,85.0,0.2081,91,,,0.1154,84.0
7868,,,,,0.6124,85.0,0.8689,91,,,0.0,84.0
7869,,,,,0.0,85.0,0.4404,91,,,0.0,80.0
7870,,,,,0.7003,84.0,0.8271,91,,,0.0,80.0
7871,,,,,0.7269,84.0,0.8402,91,,,0.7003,87.0
7872,,,,,0.3818,84.0,0.9701,91,,,0.836,87.0
7873,,,,,0.5859,84.0,0.9246,89,,,0.4588,87.0
7874,,,,,0.296,88.0,0.8225,89,,,-0.3919,87.0
7875,,,,,0.7964,88.0,0.0,89,,,-0.0516,90.0
7876,,,,,0.9109,88.0,0.8391,89,,,0.3291,90.0
7877,,,,,0.7351,88.0,0.8316,89,,,0.2263,90.0
7878,,,,,0.4692,88.0,0.9565,89,,,0.765,90.0
7879,,,,,0.8432,88.0,0.0772,84,,,0.52,81.0
7880,,,,,0.6808,88.0,0.4588,84,,,-0.6597,80.0
7881,,,,,0.8658,88.0,0.3612,84,,,-0.4506,80.0
7882,,,,,0.9217,88.0,0.0,84,,,0.0772,89.0
7883,,,,,0.9274,92.0,0.5423,84,,,0.5267,84.0
7884,,,,,0.4019,92.0,0.4404,84,,,0.4404,84.0
7885,,,,,-0.4215,92.0,0.2263,84,,,0.0,84.0
7886,,,,,0.5106,92.0,0.7783,84,,,0.7096,84.0
7887,,,,,0.8807,92.0,-0.6403,84,,,0.0675,84.0
7888,,,,,0.4588,92.0,-0.4939,84,,,0.2382,84.0
7889,,,,,0.7964,92.0,0.7845,93,,,0.8442,84.0
7890,,,,,0.2382,92.0,0.7717,93,,,-0.2732,83.0
7891,,,,,0.4404,92.0,0.0,93,,,-0.5023,85.0
7892,,,,,0.4767,92.0,0.8126,93,,,0.0,85.0
7893,,,,,0.6808,92.0,0.9217,93,,,-0.2617,85.0
7894,,,,,0.2263,92.0,0.0,93,,,0.0258,89.0
7895,,,,,0.8807,91.0,0.0,93,,,0.9118,88.0
7896,,,,,0.1655,91.0,0.8591,93,,,0.7003,88.0
7897,,,,,0.2263,91.0,0.4767,93,,,-0.0702,88.0
7898,,,,,0.8834,91.0,0.8934,93,,,0.8779,88.0
7899,,,,,0.6124,91.0,0.886,93,,,0.0,90.0
7900,,,,,0.8705,91.0,0.8765,93,,,0.0,85.0
7901,,,,,0.827,91.0,0.0,93,,,-0.0772,85.0
7902,,,,,0.8553,91.0,0.7845,93,,,0.0,85.0
7903,,,,,0.0,91.0,0.0,93,,,-0.7003,85.0
7904,,,,,-0.0516,91.0,0.7501,93,,,0.5399,92.0
7905,,,,,-0.5719,91.0,0.9421,93,,,0.8047,92.0
7906,,,,,0.7906,91.0,0.3182,93,,,0.8176,89.0
7907,,,,,0.4404,91.0,0.7184,93,,,0.4588,89.0
7908,,,,,0.8713,90.0,0.0,84,,,0.0,89.0
7909,,,,,0.7469,90.0,0.4588,84,,,0.34,89.0
7910,,,,,0.4767,90.0,0.0,83,,,0.3699,89.0
7911,,,,,0.8062,90.0,0.8884,91,,,0.3804,89.0
7912,,,,,-0.1621,90.0,0.6124,91,,,-0.0772,83.0
7913,,,,,0.5267,90.0,0.9338,91,,,-0.4417,83.0
7914,,,,,0.8402,90.0,0.8591,91,,,0.0,82.0
7915,,,,,0.743,90.0,0.1531,91,,,-0.1761,81.0
7916,,,,,0.5423,90.0,0.6597,91,,,0.2732,81.0
7917,,,,,0.4404,84.0,0.4588,91,,,0.7391,91.0
7918,,,,,-0.5994,83.0,0.7089,91,,,0.9287,93.0
7919,,,,,-0.4357,83.0,0.6997,91,,,0.765,92.0
7920,,,,,-0.3182,83.0,0.1531,91,,,-0.2263,88.0
7921,,,,,-0.1531,83.0,0.5256,91,,,-0.8543,84.0
7922,,,,,0.1027,93.0,0.4939,91,,,0.3919,84.0
7923,,,,,0.9524,93.0,0.0,87,,,0.1531,84.0
7924,,,,,0.875,93.0,0.3818,87,,,-0.5927,84.0
7925,,,,,0.9217,93.0,0.0,87,,,0.25,84.0
7926,,,,,0.9099,93.0,-0.3626,87,,,0.4939,84.0
7927,,,,,0.8316,93.0,0.0,87,,,0.5499,87.0
7928,,,,,0.7441,87.0,0.3182,87,,,0.7003,87.0
7929,,,,,0.8885,87.0,0.431,87,,,0.7845,87.0
7930,,,,,0.4404,87.0,0.1531,87,,,0.381,85.0
7931,,,,,0.4497,87.0,-0.296,87,,,0.2617,86.0
7932,,,,,0.0396,87.0,0.4588,87,,,0.653,86.0
7933,,,,,0.6249,87.0,0.8074,87,,,0.8807,90.0
7934,,,,,0.4601,87.0,0.5106,87,,,0.9153,90.0
7935,,,,,0.2732,87.0,0.8968,87,,,0.9091,85.0
7936,,,,,0.6369,87.0,0.0,87,,,0.7876,85.0
7937,,,,,0.5267,87.0,0.0,87,,,0.9136,85.0
7938,,,,,0.7717,87.0,0.8705,87,,,0.6738,85.0
7939,,,,,0.0,87.0,0.6249,87,,,0.4019,85.0
7940,,,,,-0.0516,87.0,0.2846,87,,,0.923,87.0
7941,,,,,0.0516,87.0,0.0,87,,,-0.25,87.0
7942,,,,,0.0,87.0,-0.1154,85,,,-0.2057,87.0
7943,,,,,0.0,87.0,0.3182,84,,,0.765,88.0
7944,,,,,0.296,87.0,-0.228,85,,,0.9117,88.0
7945,,,,,0.5994,90.0,0.891,90,,,0.7227,88.0
7946,,,,,0.4588,90.0,0.5574,87,,,0.319,87.0
7947,,,,,0.0,90.0,0.0065,87,,,0.0258,88.0
7948,,,,,0.1523,90.0,0.9325,87,,,-0.4201,82.0
7949,,,,,0.7096,89.0,0.9001,86,,,0.3804,82.0
7950,,,,,0.8176,89.0,0.4215,86,,,0.0,82.0
7951,,,,,0.0772,89.0,-0.0516,82,,,0.5106,81.0
7952,,,,,0.886,89.0,0.9451,94,,,0.6939,91.0
7953,,,,,0.0,89.0,0.8158,93,,,0.9125,91.0
7954,,,,,0.765,89.0,0.6908,93,,,0.0,86.0
7955,,,,,0.6346,85.0,0.8977,93,,,0.5187,86.0
7956,,,,,0.4767,85.0,0.2023,92,,,0.1027,86.0
7957,,,,,-0.2263,85.0,0.4767,92,,,0.0,82.0
7958,,,,,0.8221,85.0,0.8779,90,,,0.6486,82.0
7959,,,,,0.9324,89.0,0.9761,90,,,-0.6991,81.0
7960,,,,,-0.1152,89.0,0.4588,90,,,-0.34,81.0
7961,,,,,0.7845,89.0,-0.2023,90,,,0.1546,81.0
7962,,,,,0.8957,89.0,0.4215,90,,,0.1548,80.0
7963,,,,,0.4497,89.0,0.9538,90,,,0.5499,89.0
7964,,,,,0.7096,89.0,0.3818,90,,,0.2023,84.0
7965,,,,,0.765,89.0,0.0387,90,,,0.0,84.0
7966,,,,,0.8225,89.0,0.34,90,,,0.5859,84.0
7967,,,,,0.7096,89.0,0.1027,90,,,0.0,89.0
7968,,,,,0.4391,89.0,-0.1779,90,,,0.3182,86.0
7969,,,,,0.8126,89.0,0.4854,90,,,0.5106,86.0
7970,,,,,0.765,89.0,0.8689,90,,,0.4654,94.0
7971,,,,,-0.1027,89.0,0.8074,91,,,0.631,93.0
7972,,,,,0.7003,88.0,0.0772,91,,,0.0,89.0
7973,,,,,0.802,88.0,0.9517,91,,,0.5574,89.0
7974,,,,,0.9273,88.0,0.5764,91,,,0.0,84.0
7975,,,,,0.946,88.0,0.6597,91,,,-0.2732,84.0
7976,,,,,0.7351,88.0,0.9153,91,,,0.6124,87.0
7977,,,,,0.1779,88.0,0.8442,91,,,0.4939,83.0
7978,,,,,0.886,88.0,0.4767,91,,,-0.2263,82.0
7979,,,,,0.8074,88.0,-0.2675,91,,,0.3291,92.0
7980,,,,,0.0516,87.0,0.7351,91,,,0.1027,92.0
7981,,,,,0.5859,87.0,0.8271,91,,,0.7506,92.0
7982,,,,,0.6124,87.0,0.7351,91,,,-0.3818,83.0
7983,,,,,0.1027,87.0,0.34,86,,,-0.026,83.0
7984,,,,,0.8519,87.0,0.6369,86,,,-0.6597,83.0
7985,,,,,0.6187,87.0,0.7351,86,,,0.4215,83.0
7986,,,,,0.0,87.0,0.296,86,,,0.5574,83.0
7987,,,,,0.7579,87.0,0.8495,86,,,0.534,83.0
7988,,,,,0.7783,87.0,0.7351,86,,,-0.296,83.0
7989,,,,,0.839,87.0,0.9414,86,,,-0.1689,83.0
7990,,,,,0.5927,87.0,0.9037,86,,,0.3958,83.0
7991,,,,,0.4497,87.0,0.8658,86,,,0.4767,91.0
7992,,,,,0.4404,87.0,0.8402,86,,,0.9109,91.0
7993,,,,,0.5994,87.0,-0.0176,86,,,0.9423,90.0
7994,,,,,-0.128,87.0,0.6908,86,,,0.128,90.0
7995,,,,,-0.1531,86.0,0.7902,86,,,0.3483,90.0
7996,,,,,0.7506,86.0,0.0772,87,,,0.6697,90.0
7997,,,,,-0.1655,86.0,0.6705,87,,,0.0,90.0
7998,,,,,0.6486,86.0,0.0772,87,,,0.7906,90.0
7999,,,,,0.6705,91.0,0.7845,87,,,0.6059,85.0
8000,,,,,0.9231,91.0,0.8625,87,,,-0.6597,84.0
8001,,,,,0.4939,91.0,0.4939,87,,,0.8639,84.0
8002,,,,,0.8935,91.0,0.6486,87,,,0.8419,90.0
8003,,,,,0.8271,91.0,0.3818,88,,,0.8406,91.0
8004,,,,,0.9382,91.0,0.4404,88,,,0.836,91.0
8005,,,,,0.7579,91.0,0.8898,88,,,0.7713,90.0
8006,,,,,0.7184,91.0,0.4678,88,,,0.0,88.0
8007,,,,,0.4576,91.0,0.8735,88,,,0.4854,83.0
8008,,,,,0.8555,91.0,0.8689,88,,,-0.0772,83.0
8009,,,,,0.9217,91.0,0.8316,87,,,0.4398,83.0
8010,,,,,0.795,87.0,-0.6249,87,,,0.3612,83.0
8011,,,,,0.6369,87.0,0.296,87,,,0.3919,83.0
8012,,,,,0.8689,87.0,-0.3687,87,,,0.6737,83.0
8013,,,,,0.4019,87.0,0.8555,87,,,-0.5423,83.0
8014,,,,,0.886,87.0,0.872,87,,,0.5859,83.0
8015,,,,,0.0,87.0,0.8885,95,,,0.7841,83.0
8016,,,,,0.0,87.0,0.1779,94,,,0.0,83.0
8017,,,,,0.8271,87.0,0.8591,94,,,0.7906,90.0
8018,,,,,0.6659,87.0,0.7076,94,,,0.3182,86.0
8019,,,,,0.0,88.0,0.2263,94,,,0.9418,84.0
8020,,,,,0.9325,88.0,0.743,94,,,-0.4121,84.0
8021,,,,,0.899,88.0,-0.079,94,,,0.3919,83.0
8022,,,,,0.802,88.0,0.0,94,,,0.8343,83.0
8023,,,,,0.8555,88.0,0.5574,94,,,0.5499,86.0
8024,,,,,0.705,88.0,0.7227,94,,,0.4497,86.0
8025,,,,,0.8126,88.0,0.1531,94,,,0.5106,86.0
8026,,,,,0.5106,88.0,0.9001,94,,,0.8807,86.0
8027,,,,,0.8591,88.0,-0.3182,94,,,0.3182,90.0
8028,,,,,0.7783,88.0,0.9578,94,,,0.8591,90.0
8029,,,,,0.802,88.0,0.743,93,,,0.3818,89.0
8030,,,,,0.7269,88.0,0.6467,93,,,0.2732,89.0
8031,,,,,0.5859,88.0,0.9306,93,,,0.0,84.0
8032,,,,,0.3182,88.0,0.4588,88,,,0.7184,86.0
8033,,,,,0.0,84.0,0.7964,88,,,0.3291,86.0
8034,,,,,0.5859,84.0,-0.2263,88,,,0.8658,86.0
8035,,,,,0.3612,84.0,-0.3197,88,,,0.9571,86.0
8036,,,,,0.4404,84.0,0.3506,88,,,0.9299,86.0
8037,,,,,0.0,84.0,0.4404,88,,,0.8934,86.0
8038,,,,,0.0,84.0,0.8271,88,,,0.6124,85.0
8039,,,,,0.7783,84.0,0.4019,87,,,0.8573,85.0
8040,,,,,0.765,84.0,0.2617,87,,,0.8151,85.0
8041,,,,,0.0,84.0,0.743,88,,,0.8402,85.0
8042,,,,,0.6249,84.0,0.6369,88,,,0.7906,85.0
8043,,,,,0.7964,84.0,0.7845,88,,,0.5106,85.0
8044,,,,,0.3612,83.0,0.802,88,,,0.9648,85.0
8045,,,,,0.6597,83.0,0.8834,88,,,0.8555,85.0
8046,,,,,0.9175,83.0,0.936,88,,,0.4588,85.0
8047,,,,,0.0,83.0,0.3612,88,,,0.5106,88.0
8048,,,,,0.4939,83.0,0.8779,88,,,0.0,89.0
8049,,,,,-0.0516,83.0,0.8211,88,,,0.6938,89.0
8050,,,,,0.3612,83.0,0.0,89,,,0.5859,88.0
8051,,,,,-0.4215,83.0,0.2023,89,,,0.6908,88.0
8052,,,,,0.5868,83.0,0.7717,89,,,0.788,88.0
8053,,,,,0.0,83.0,0.9022,89,,,0.1027,89.0
8054,,,,,0.4404,90.0,0.6557,89,,,0.8689,85.0
8055,,,,,0.7845,90.0,0.0,89,,,0.8449,86.0
8056,,,,,0.743,90.0,0.2382,89,,,-0.1027,85.0
8057,,,,,0.5423,90.0,0.8591,89,,,-0.128,92.0
8058,,,,,0.8428,90.0,0.9153,89,,,-0.0644,88.0
8059,,,,,0.836,90.0,0.8765,89,,,0.0,88.0
8060,,,,,0.0258,90.0,0.7003,89,,,0.9382,88.0
8061,,,,,0.891,90.0,0.5267,89,,,0.8462,94.0
8062,,,,,0.9136,90.0,0.7003,89,,,0.5859,90.0
8063,,,,,0.8316,90.0,0.872,89,,,0.0,88.0
8064,,,,,0.9477,90.0,0.7506,86,,,0.5423,88.0
8065,,,,,0.7351,90.0,0.8627,86,,,0.5267,89.0
8066,,,,,0.8779,90.0,0.8834,86,,,0.714,89.0
8067,,,,,0.4767,90.0,0.4019,86,,,0.4019,89.0
8068,,,,,0.6369,90.0,0.8858,86,,,0.3919,93.0
8069,,,,,0.7351,90.0,0.4939,86,,,0.8176,90.0
8070,,,,,0.9001,90.0,0.0387,86,,,0.3182,88.0
8071,,,,,0.6249,90.0,0.4666,86,,,0.8979,89.0
8072,,,,,0.83,90.0,0.9268,86,,,0.0,89.0
8073,,,,,0.4404,90.0,0.2023,86,,,0.6369,86.0
8074,,,,,0.5719,90.0,0.4767,86,,,0.0516,86.0
8075,,,,,0.6757,90.0,0.6245,86,,,0.7579,86.0
8076,,,,,0.9618,90.0,0.0,86,,,0.7775,88.0
8077,,,,,0.7003,90.0,0.8047,86,,,0.8271,88.0
8078,,,,,0.8834,90.0,0.0,86,,,0.9072,88.0
8079,,,,,0.765,90.0,0.8979,85,,,-0.3057,86.0
8080,,,,,0.5994,90.0,-0.4404,85,,,0.7178,86.0
8081,,,,,0.9118,90.0,-0.3626,85,,,0.8885,91.0
8082,,,,,0.7906,90.0,0.8837,85,,,0.0,91.0
8083,,,,,0.4939,90.0,0.7935,85,,,0.6124,85.0
8084,,,,,0.4497,90.0,0.826,87,,,0.8422,85.0
8085,,,,,0.9022,90.0,0.9022,87,,,0.128,80.0
8086,,,,,0.8462,90.0,0.5994,87,,,-0.4646,87.0
8087,,,,,0.8745,90.0,0.6369,87,,,0.4588,92.0
8088,,,,,0.8934,90.0,0.8402,87,,,0.9349,92.0
8089,,,,,0.8588,90.0,0.5267,87,,,0.7351,90.0
8090,,,,,0.9584,87.0,0.8955,87,,,0.0,90.0
8091,,,,,0.8625,87.0,0.7206,85,,,0.2732,90.0
8092,,,,,0.9382,87.0,0.9247,85,,,0.9022,90.0
8093,,,,,0.9231,87.0,0.7913,85,,,0.2732,84.0
8094,,,,,0.2732,88.0,0.6808,85,,,-0.128,84.0
8095,,,,,0.0,88.0,0.8225,85,,,-0.4215,84.0
8096,,,,,0.0,88.0,0.8271,85,,,0.2382,84.0
8097,,,,,0.5106,88.0,0.9246,85,,,0.7118,92.0
8098,,,,,0.4588,88.0,0.9127,85,,,0.0,92.0
8099,,,,,0.0258,88.0,0.6542,85,,,-0.6678,84.0
8100,,,,,0.5106,86.0,-0.5927,85,,,0.3182,84.0
8101,,,,,0.5106,86.0,0.8555,85,,,-0.0772,86.0
8102,,,,,0.8798,86.0,0.4215,85,,,0.7717,86.0
8103,,,,,0.1531,86.0,0.91,85,,,-0.34,86.0
8104,,,,,0.4404,86.0,0.6124,84,,,0.3912,84.0
8105,,,,,0.714,86.0,-0.3612,84,,,-0.7506,84.0
8106,,,,,0.5267,86.0,0.6808,84,,,0.4549,84.0
8107,,,,,0.8271,86.0,0.4588,84,,,0.2263,84.0
8108,,,,,0.0,92.0,0.6705,84,,,0.0,88.0
8109,,,,,0.6705,92.0,0.6369,83,,,0.9081,95.0
8110,,,,,0.9169,91.0,0.5095,83,,,0.0,84.0
8111,,,,,0.4767,91.0,0.5106,91,,,0.1531,84.0
8112,,,,,0.9186,91.0,0.8854,91,,,-0.4767,87.0
8113,,,,,0.5574,91.0,0.8225,90,,,0.3744,90.0
8114,,,,,0.8555,91.0,0.0,90,,,0.875,91.0
8115,,,,,0.3182,91.0,0.9186,90,,,0.6369,86.0
8116,,,,,0.8176,91.0,0.7096,90,,,0.2263,86.0
8117,,,,,0.8481,91.0,0.9287,90,,,-0.1531,86.0
8118,,,,,0.4404,91.0,0.4939,90,,,0.3818,93.0
8119,,,,,0.0,91.0,0.5267,90,,,0.9349,93.0
8120,,,,,0.5267,94.0,-0.34,90,,,0.6369,93.0
8121,,,,,0.8777,94.0,0.34,90,,,0.4939,93.0
8122,,,,,0.9042,94.0,0.8834,90,,,0.3182,93.0
8123,,,,,0.0,94.0,0.4933,81,,,0.3612,86.0
8124,,,,,0.875,94.0,0.0,80,,,0.8834,92.0
8125,,,,,0.5106,93.0,0.1027,80,,,0.0258,91.0
8126,,,,,0.8555,93.0,0.3612,80,,,0.34,91.0
8127,,,,,0.9812,93.0,0.0,80,,,0.5106,89.0
8128,,,,,0.8704,93.0,-0.4404,80,,,0.2263,89.0
8129,,,,,0.9229,93.0,0.4588,80,,,0.4019,84.0
8130,,,,,0.872,93.0,-0.5106,80,,,-0.25,84.0
8131,,,,,0.8442,93.0,0.9042,95,,,0.9398,85.0
8132,,,,,0.5574,93.0,0.9695,95,,,0.0,85.0
8133,,,,,0.7717,93.0,0.9737,95,,,0.3716,85.0
8134,,,,,0.7717,93.0,0.9562,95,,,0.0772,90.0
8135,,,,,0.8442,89.0,0.9393,95,,,0.6705,90.0
8136,,,,,0.8885,89.0,0.8658,94,,,0.1406,90.0
8137,,,,,0.9022,89.0,-0.4939,94,,,0.6369,88.0
8138,,,,,0.4404,89.0,0.765,94,,,0.0,88.0
8139,,,,,0.7987,89.0,0.9118,89,,,-0.296,88.0
8140,,,,,0.9219,89.0,0.836,89,,,0.0,84.0
8141,,,,,0.5267,89.0,0.8957,89,,,-0.25,84.0
8142,,,,,0.6883,89.0,0.0,89,,,-0.5284,84.0
8143,,,,,0.0,89.0,-0.5106,89,,,0.1027,84.0
8144,,,,,0.3818,89.0,0.9217,89,,,0.0,84.0
8145,,,,,-0.3182,89.0,0.9161,90,,,-0.602,84.0
8146,,,,,0.6584,89.0,0.8591,90,,,0.3612,84.0
8147,,,,,0.3182,89.0,0.7096,90,,,0.8271,87.0
8148,,,,,0.0,89.0,0.9451,90,,,-0.2411,87.0
8149,,,,,0.8047,89.0,0.5187,90,,,0.7964,87.0
8150,,,,,0.4877,89.0,0.8591,90,,,0.5719,87.0
8151,,,,,0.5563,89.0,0.9321,90,,,0.4404,86.0
8152,,,,,0.5859,89.0,0.8185,90,,,0.25,84.0
8153,,,,,0.5927,88.0,0.6845,90,,,0.6808,84.0
8154,,,,,0.908,88.0,0.8553,90,,,0.0,84.0
8155,,,,,0.802,88.0,0.9217,90,,,0.1655,84.0
8156,,,,,0.3182,88.0,0.8481,90,,,0.4588,83.0
8157,,,,,0.0,88.0,0.8225,84,,,0.8442,87.0
8158,,,,,-0.0516,88.0,0.802,84,,,0.7506,87.0
8159,,,,,0.4588,88.0,0.4221,84,,,0.4782,86.0
8160,,,,,0.2732,88.0,-0.34,84,,,0.0772,85.0
8161,,,,,0.5719,88.0,0.3818,84,,,-0.4939,85.0
8162,,,,,0.34,88.0,0.7988,84,,,-0.4939,85.0
8163,,,,,0.7717,88.0,0.6369,84,,,0.4497,85.0
8164,,,,,0.9643,88.0,0.3597,84,,,0.1779,85.0
8165,,,,,0.4019,88.0,0.5927,84,,,0.5499,85.0
8166,,,,,0.6124,88.0,-0.6705,84,,,0.0,92.0
8167,,,,,0.6808,88.0,0.4019,84,,,0.3291,83.0
8168,,,,,0.6041,88.0,0.9793,83,,,0.1027,83.0
8169,,,,,0.8442,88.0,0.6705,83,,,-0.3893,83.0
8170,,,,,0.0,88.0,0.0516,83,,,0.0,83.0
8171,,,,,0.9734,88.0,0.836,83,,,0.0,82.0
8172,,,,,0.6486,85.0,-0.4019,83,,,0.103,82.0
8173,,,,,0.5267,85.0,0.4588,85,,,-0.6705,82.0
8174,,,,,0.1027,85.0,0.0,85,,,0.4404,82.0
8175,,,,,-0.25,85.0,0.0,85,,,-0.128,83.0
8176,,,,,0.4404,85.0,0.6798,88,,,0.6597,83.0
8177,,,,,0.4497,85.0,0.5106,88,,,0.0,87.0
8178,,,,,0.101,85.0,0.7713,88,,,0.7488,87.0
8179,,,,,0.7597,85.0,0.6369,88,,,0.0,92.0
8180,,,,,0.7709,85.0,0.7939,88,,,0.7964,92.0
8181,,,,,0.6808,85.0,0.5106,88,,,0.8649,92.0
8182,,,,,0.0,85.0,0.4939,92,,,-0.1027,88.0
8183,,,,,0.9073,85.0,0.1027,92,,,0.3818,88.0
8184,,,,,-0.0772,85.0,0.4767,92,,,0.6808,88.0
8185,,,,,-0.1779,85.0,0.0,92,,,0.0,88.0
8186,,,,,0.5859,85.0,0.5994,92,,,0.6486,93.0
8187,,,,,0.7579,85.0,0.886,92,,,-0.3506,85.0
8188,,,,,0.0,85.0,0.5267,92,,,0.8204,85.0
8189,,,,,0.7935,85.0,0.3182,92,,,0.8442,85.0
8190,,,,,0.3612,85.0,0.6808,91,,,0.5346,85.0
8191,,,,,0.4404,85.0,0.9081,91,,,-0.2939,85.0
8192,,,,,-0.2441,85.0,-0.3612,91,,,0.2495,85.0
8193,,,,,0.5719,85.0,0.7579,91,,,0.899,85.0
8194,,,,,0.25,85.0,0.0,91,,,0.9282,85.0
8195,,,,,0.3182,85.0,0.5106,91,,,0.9493,85.0
8196,,,,,0.4404,85.0,0.4767,91,,,0.4215,85.0
8197,,,,,0.6124,85.0,0.743,91,,,0.9454,85.0
8198,,,,,0.4404,85.0,0.743,91,,,-0.1779,85.0
8199,,,,,0.7269,85.0,0.7264,91,,,0.7469,83.0
8200,,,,,-0.128,85.0,0.4404,91,,,0.6486,83.0
8201,,,,,-0.4215,85.0,0.0,91,,,0.4939,83.0
8202,,,,,0.4588,85.0,0.5106,91,,,0.8608,83.0
8203,,,,,0.7579,90.0,0.872,91,,,0.2716,83.0
8204,,,,,0.8898,90.0,0.453,91,,,0.7472,83.0
8205,,,,,0.3818,90.0,0.4588,91,,,0.253,83.0
8206,,,,,0.7579,90.0,0.4939,91,,,0.872,83.0
8207,,,,,0.91,90.0,0.25,90,,,0.3612,90.0
8208,,,,,0.8225,90.0,0.4019,90,,,0.2732,90.0
8209,,,,,0.7935,90.0,-0.296,90,,,0.7096,90.0
8210,,,,,0.6705,90.0,0.34,90,,,0.4019,90.0
8211,,,,,0.0,90.0,0.4939,90,,,0.1655,88.0
8212,,,,,0.4019,90.0,0.8338,90,,,-0.1901,88.0
8213,,,,,-0.4215,90.0,0.8047,90,,,0.6757,86.0
8214,,,,,0.891,90.0,0.891,90,,,-0.079,89.0
8215,,,,,0.0,90.0,0.7269,90,,,-0.1531,86.0
8216,,,,,0.7964,90.0,0.0258,90,,,0.9468,86.0
8217,,,,,0.8807,90.0,0.6808,90,,,0.8885,86.0
8218,,,,,0.5994,90.0,0.3818,90,,,0.5364,86.0
8219,,,,,0.5719,90.0,0.807,90,,,0.2617,86.0
8220,,,,,0.872,90.0,0.0,90,,,-0.1027,87.0
8221,,,,,0.9287,92.0,0.6597,90,,,-0.612,87.0
8222,,,,,0.8482,92.0,0.4767,90,,,0.2263,87.0
8223,,,,,0.872,91.0,-0.0772,90,,,0.0,89.0
8224,,,,,0.6369,91.0,0.6678,90,,,0.4019,89.0
8225,,,,,0.4215,91.0,0.8918,90,,,0.5267,89.0
8226,,,,,0.7003,91.0,0.0,90,,,0.7096,89.0
8227,,,,,0.8625,91.0,0.2263,84,,,0.6357,89.0
8228,,,,,0.6249,91.0,0.2411,83,,,0.4497,86.0
8229,,,,,0.6369,91.0,0.8448,83,,,0.0,85.0
8230,,,,,0.8074,91.0,-0.1779,83,,,0.8271,85.0
8231,,,,,0.0,86.0,0.0,83,,,-0.1354,85.0
8232,,,,,0.6369,86.0,0.296,83,,,0.5574,91.0
8233,,,,,0.7906,86.0,0.8834,93,,,0.6249,90.0
8234,,,,,0.2382,86.0,0.9501,93,,,-0.2144,86.0
8235,,,,,0.4798,86.0,0.7644,93,,,0.1531,86.0
8236,,,,,0.0,86.0,0.9144,93,,,-0.754,86.0
8237,,,,,-0.5707,86.0,0.5994,93,,,0.3182,86.0
8238,,,,,-0.3205,86.0,0.0,93,,,0.2732,81.0
8239,,,,,-0.128,86.0,0.2732,87,,,-0.7579,80.0
8240,,,,,0.0,86.0,0.4939,87,,,-0.34,80.0
8241,,,,,0.8126,86.0,-0.3919,87,,,-0.8126,80.0
8242,,,,,0.1531,86.0,0.8807,87,,,0.1779,92.0
8243,,,,,0.6249,86.0,0.34,87,,,0.6249,90.0
8244,,,,,0.5106,86.0,0.3182,87,,,0.8519,90.0
8245,,,,,-0.4215,86.0,0.0,87,,,0.8225,88.0
8246,,,,,0.7351,87.0,0.8934,87,,,0.8934,88.0
8247,,,,,0.8126,87.0,0.884,90,,,0.3071,88.0
8248,,,,,0.0,87.0,0.5574,90,,,0.4939,84.0
8249,,,,,0.8126,87.0,0.34,90,,,-0.6054,84.0
8250,,,,,0.5106,87.0,0.7906,90,,,0.0,84.0
8251,,,,,0.6486,87.0,0.6369,90,,,0.4019,84.0
8252,,,,,-0.5994,87.0,0.9246,90,,,0.1531,84.0
8253,,,,,0.4404,87.0,0.6956,89,,,-0.4019,84.0
8254,,,,,0.6096,87.0,0.2263,89,,,0.8519,88.0
8255,,,,,0.6597,87.0,0.5574,89,,,-0.1787,89.0
8256,,,,,0.7003,87.0,0.9274,89,,,-0.1027,89.0
8257,,,,,0.2023,87.0,0.0,89,,,0.8219,89.0
8258,,,,,0.6705,87.0,0.0,89,,,0.0,87.0
8259,,,,,0.7269,87.0,0.8979,89,,,0.0,85.0
8260,,,,,0.6597,87.0,0.0772,85,,,-0.1027,85.0
8261,,,,,0.6124,87.0,0.0,85,,,0.0,85.0
8262,,,,,0.5106,87.0,0.431,85,,,0.0,85.0
8263,,,,,0.7351,87.0,0.4118,85,,,0.0,85.0
