,polarity,points-category
6040,0.0,85-89
6041,0.0,85-89
6042,-0.0516,85-89
6043,-0.29600000000000004,85-89
6044,0.9552,85-89
6045,0.2023,85-89
6046,0.7351,85-89
6047,0.7269,85-89
6048,0.0516,85-89
6049,0.2846,85-89
6050,0.7964,85-89
6051,0.2023,85-89
6052,0.0,85-89
6053,-0.5307,85-89
6054,0.0,85-89
6055,0.4497,85-89
6056,0.0,85-89
6057,0.4404,85-89
6058,0.0,85-89
6059,0.4404,85-89
6060,0.0,85-89
6061,0.6369,85-89
6062,0.7388,85-89
6063,0.8885,85-89
6064,0.0,85-89
6065,0.5574,85-89
6066,0.0,85-89
6067,-0.7579,85-89
6068,0.8779,85-89
6069,0.7096,85-89
6070,0.8834,85-89
6071,0.0,85-89
6072,0.7351,85-89
6073,0.0,85-89
6074,0.29600000000000004,85-89
6075,0.4939,85-89
6076,0.8313,85-89
6077,0.3818,85-89
6078,0.7874,85-89
6079,-0.1531,85-89
6080,0.7783,85-89
6081,0.6369,85-89
6082,-0.2732,85-89
6083,0.0,85-89
6084,-0.6486,85-89
6085,0.0,85-89
6086,0.0,85-89
6087,0.34,85-89
6088,0.6369,85-89
6089,0.8225,85-89
6090,0.9313,85-89
6091,-0.128,85-89
6092,0.2732,85-89
6093,-0.138,85-89
6094,0.9661,85-89
6095,0.8402,85-89
6096,0.4588,85-89
6097,0.7525,85-89
6098,0.2263,85-89
6099,0.5106,85-89
6100,-0.4215,85-89
6101,0.4939,85-89
6102,0.743,85-89
6103,0.926,85-89
6104,0.8909999999999999,85-89
6105,0.7003,85-89
6106,0.4588,85-89
6107,-0.2078,85-89
6108,0.6705,85-89
6109,0.2707,85-89
6110,0.0,85-89
6111,0.6369,85-89
6112,0.2732,85-89
6113,0.8176,85-89
6114,0.0,85-89
6115,0.1531,85-89
6116,-0.3182,85-89
6117,0.0,85-89
6118,0.0,85-89
6119,0.0,85-89
6120,0.7096,85-89
6121,0.4215,85-89
6122,-0.4215,85-89
6123,0.0,85-89
6124,0.7906,85-89
6125,0.4767,85-89
6126,0.25,85-89
6127,0.4404,85-89
6128,0.25,85-89
6129,0.0,85-89
6130,-0.3818,85-89
6131,-0.4215,85-89
6132,0.2732,85-89
6133,0.7184,85-89
6134,0.6652,85-89
6135,0.0,85-89
6136,0.1779,85-89
6137,0.0,85-89
6138,0.6513,85-89
6139,0.5719,85-89
6140,0.1761,85-89
6141,0.6369,85-89
6142,0.0,85-89
6143,0.431,85-89
6144,0.6597,85-89
6145,0.7096,85-89
6146,-0.0387,85-89
6147,0.7096,85-89
6148,0.4019,85-89
6149,0.0,85-89
6150,0.0,85-89
6151,0.3818,85-89
6152,0.3612,85-89
6153,-0.3182,85-89
6154,-0.3536,85-89
6155,0.4497,85-89
6156,0.2732,85-89
6157,0.0,85-89
6158,0.0,85-89
6159,0.4767,85-89
6160,0.8625,85-89
6161,0.0,85-89
6162,0.7096,85-89
6163,-0.5719,85-89
6164,0.0,85-89
6165,0.2732,85-89
6166,-0.2462,85-89
6167,0.2846,85-89
6168,0.0,85-89
6169,-0.2846,85-89
6170,0.9126,85-89
6171,0.5423,85-89
6172,0.7269,85-89
6173,-0.1027,85-89
6174,0.7677,85-89
6175,0.6908,85-89
6176,0.552,85-89
6177,0.7845,85-89
6178,0.0,85-89
6179,0.0,85-89
6180,0.7184,85-89
6181,0.4404,85-89
6182,0.4655,85-89
6183,0.0,85-89
6184,0.2023,85-89
6185,0.4939,85-89
6186,0.6076,85-89
6187,0.4404,85-89
6188,0.6863,85-89
6189,0.7096,85-89
6190,0.705,85-89
6191,0.0,85-89
6192,0.5574,85-89
6193,0.6486,85-89
6194,0.0,85-89
6195,0.34,85-89
6196,0.25,85-89
6197,0.5106,85-89
6198,0.7717,85-89
6199,-0.1027,85-89
6200,0.6705,85-89
6201,-0.0772,85-89
6202,0.1531,85-89
6203,0.7269,85-89
6204,0.7096,85-89
6205,0.4404,85-89
6206,0.4019,85-89
6207,0.631,85-89
6208,0.4588,85-89
6209,-0.1027,85-89
6210,0.4019,85-89
6211,0.29600000000000004,85-89
6212,-0.3167,85-89
6213,0.4588,85-89
6214,0.7506,85-89
6215,0.5859,85-89
6216,0.5994,85-89
6217,0.3716,85-89
6218,0.743,85-89
6219,0.1779,85-89
6220,0.29600000000000004,85-89
6221,0.0,85-89
6222,0.0,85-89
6223,0.0,85-89
6224,0.2617,85-89
6225,0.9423,85-89
6226,0.4404,85-89
6227,0.6336,85-89
6228,0.3818,85-89
6229,0.7003,85-89
6230,0.5719,85-89
6231,0.2382,85-89
6232,0.0,85-89
6233,0.5574,85-89
6234,0.0,85-89
6235,0.8047,85-89
6236,-0.3818,85-89
6237,0.0,85-89
6238,0.8313,85-89
6239,-0.1531,85-89
6240,0.4404,85-89
6241,0.0772,85-89
6242,0.5106,85-89
6243,0.3818,85-89
6244,0.4767,85-89
6245,0.0,85-89
6246,0.3182,85-89
6247,0.6597,85-89
6248,0.6369,85-89
6249,0.946,85-89
6250,0.4019,85-89
6251,0.7506,85-89
6252,0.9559,85-89
6253,0.4013,85-89
6254,0.1779,85-89
6255,-0.0516,85-89
6256,0.5267,85-89
6257,0.0,85-89
6258,0.7096,85-89
6259,0.2732,85-89
6260,0.3182,85-89
6261,0.4939,85-89
6262,0.8922,85-89
6263,0.4588,85-89
6264,0.8402,85-89
6265,0.0772,85-89
6266,0.8074,85-89
6267,0.7096,85-89
6268,0.4767,85-89
6269,0.802,85-89
6270,0.6652,85-89
6271,0.4215,85-89
6272,0.5228,85-89
6273,0.5106,85-89
6274,0.631,85-89
6275,0.0,85-89
6276,0.6369,85-89
6277,0.8053,85-89
6278,0.0,85-89
6279,0.6786,85-89
6280,0.2263,85-89
6281,0.7269,85-89
6282,0.7351,85-89
6283,0.5136,85-89
6284,0.6369,85-89
6285,0.5729,85-89
6286,0.4588,85-89
6287,0.7906,85-89
6288,0.8827,85-89
6289,0.0,85-89
6290,0.0,85-89
6291,0.0,85-89
6292,-0.3612,85-89
6293,0.0,85-89
6294,0.0,85-89
6295,0.0,85-89
6296,0.0,85-89
6297,0.8442,85-89
6298,0.0,85-89
6299,0.7783,85-89
6300,0.5859,85-89
6301,0.0258,85-89
6302,0.3612,85-89
6303,0.7579,85-89
6304,0.6832,85-89
6305,0.0,85-89
6306,0.0,85-89
6307,0.7351,85-89
6308,0.0,85-89
6309,0.0,85-89
6310,0.8957,85-89
6311,0.8779,85-89
6312,-0.1531,85-89
6313,0.6486,85-89
6314,0.7506,85-89
6315,0.9454,85-89
6316,0.3182,85-89
6317,0.8779,85-89
6318,0.0,85-89
6319,0.5423,85-89
6320,0.5719,85-89
6321,0.0,85-89
6322,0.8608,85-89
6323,-0.1531,85-89
6324,0.6808,85-89
6325,0.0,85-89
6326,-0.2732,85-89
6327,0.0,85-89
6328,0.0,85-89
6329,0.5574,85-89
6330,0.6124,85-89
6331,-0.2732,85-89
6332,0.5574,85-89
6333,0.4404,85-89
6334,0.836,85-89
6335,0.0,85-89
6336,0.0,85-89
6337,-0.1027,85-89
6338,0.5106,85-89
6339,0.4798,85-89
6340,0.7929,85-89
6341,0.6348,85-89
6342,0.5267,85-89
6343,0.5106,85-89
6344,0.0,85-89
6345,0.92,85-89
6346,0.7269,85-89
6347,0.29600000000000004,85-89
6348,0.25,85-89
6349,0.3182,85-89
6350,0.765,85-89
6351,0.765,85-89
6352,0.4654,85-89
6353,0.0,85-89
6354,0.765,85-89
6355,0.2732,85-89
6356,0.6249,85-89
6357,0.7184,85-89
6358,0.0,85-89
6359,0.0387,85-89
6360,0.5162,85-89
6361,0.2263,85-89
6362,0.228,85-89
6363,0.4404,85-89
6364,0.0,85-89
6365,0.4939,85-89
6366,0.0,85-89
6367,0.0,85-89
6368,0.1979,85-89
6369,0.4939,85-89
6370,0.4939,85-89
6371,0.5574,85-89
6372,0.4215,85-89
6373,0.5106,85-89
6374,0.6249,85-89
6375,0.4588,85-89
6376,0.0644,85-89
6377,0.4588,85-89
6378,0.4404,85-89
6379,0.7506,85-89
6380,0.4404,85-89
6381,0.3182,85-89
6382,0.5423,85-89
6383,0.4404,85-89
6384,0.4939,85-89
6385,0.2732,85-89
6386,-0.128,85-89
6387,0.7269,85-89
6388,0.1779,85-89
6389,0.1779,85-89
6390,0.6771,85-89
6391,0.5994,85-89
6392,-0.2732,85-89
6393,0.743,85-89
6394,0.4939,85-89
6395,0.0,85-89
6396,0.5267,85-89
6397,0.6369,85-89
6398,0.0,85-89
6399,0.3182,85-89
6400,-0.2732,85-89
6401,0.5574,85-89
6402,0.6908,85-89
6403,0.6124,85-89
6404,0.2393,85-89
6405,0.7579,85-89
6406,0.6124,85-89
6407,0.2748,85-89
6408,0.9432,85-89
6409,0.6486,85-89
6410,0.6369,85-89
6411,0.9001,85-89
6412,0.4019,85-89
6413,0.0,85-89
6414,0.5499,85-89
6415,-0.3947,85-89
6416,0.0,85-89
6417,0.7783,85-89
6418,0.0,85-89
6419,0.8689,85-89
6420,0.0387,85-89
6421,0.7089,85-89
6422,0.0,85-89
6423,0.4404,85-89
6424,0.5267,85-89
6425,0.836,85-89
6426,0.5346,85-89
6427,0.7783,85-89
6428,0.0,85-89
6429,0.6249,85-89
6430,0.9565,85-89
6431,0.6369,85-89
6432,0.596,85-89
6433,0.2878,85-89
6434,0.6597,85-89
6435,0.25,85-89
6436,0.7814,85-89
6437,0.743,85-89
6438,0.8718,85-89
6439,0.128,85-89
6440,0.3182,85-89
6441,0.6688,85-89
6442,0.3818,85-89
6443,0.9136,85-89
6444,0.4576,85-89
6445,0.0,85-89
6446,0.8313,85-89
6447,-0.1531,85-89
6448,0.0772,85-89
6449,0.8047,85-89
6450,0.8271,85-89
6451,0.5719,85-89
6452,-0.3182,85-89
6453,0.9144,85-89
6454,0.7096,85-89
6455,0.8625,85-89
6456,0.0,85-89
6457,0.7096,85-89
6458,0.2144,85-89
6459,0.7959999999999999,85-89
6460,0.4621,85-89
6461,0.4019,85-89
6462,0.7096,85-89
6463,0.0,85-89
6464,0.6124,85-89
6465,0.9153,85-89
6466,0.4404,85-89
6467,0.6204,85-89
6468,0.2263,85-89
6469,0.5574,85-89
6470,0.0,85-89
6471,0.0,85-89
6472,0.6365,85-89
6473,0.743,85-89
6474,0.0,85-89
6475,0.0258,85-89
6476,0.4939,85-89
6477,0.0,85-89
6478,0.3597,85-89
6479,-0.7351,85-89
6480,0.0,85-89
6481,-0.3204,85-89
6482,0.0,85-89
6483,-0.1027,85-89
6484,-0.1027,85-89
6485,0.8555,85-89
6486,0.0,85-89
6487,0.0,85-89
6488,0.7906,85-89
6489,0.0,85-89
6490,0.7351,85-89
6491,0.4588,85-89
6492,-0.1901,85-89
6493,0.6597,85-89
6494,-0.4215,85-89
6495,0.765,85-89
6496,0.34,85-89
6497,0.0,85-89
6498,0.8615,85-89
6499,0.7506,85-89
6500,0.8225,85-89
6501,0.5423,85-89
6502,0.3182,85-89
6503,0.7579,85-89
6504,0.5267,85-89
6505,-0.2732,85-89
6506,0.7261,85-89
6507,0.8952,85-89
6508,0.7096,85-89
6509,0.5187,85-89
6510,0.9136,85-89
6511,-0.4215,85-89
6512,-0.3197,85-89
6513,0.4939,85-89
6514,0.0,85-89
6515,0.9559,85-89
6516,0.128,85-89
6517,-0.3612,85-89
6518,0.8271,85-89
6519,0.6133,85-89
6520,0.6486,85-89
6521,0.4939,85-89
6522,0.8225,85-89
6523,0.4019,85-89
6524,0.5574,85-89
6525,0.0,85-89
6526,0.2023,85-89
6527,0.5994,85-89
6528,0.5209,85-89
6529,0.4767,85-89
6530,0.4404,85-89
6531,0.5574,85-89
6532,0.2177,85-89
6533,0.4939,85-89
6534,0.765,85-89
6535,0.7579,85-89
6536,0.4588,85-89
6537,0.6249,85-89
6538,0.6369,85-89
6539,0.6369,85-89
6540,0.1901,85-89
6541,0.9451,85-89
6542,-0.0258,85-89
6543,0.3182,85-89
6544,0.0,85-89
6545,0.2263,85-89
6546,-0.6369,85-89
6547,0.0,85-89
6548,-0.2732,85-89
6549,-0.2732,85-89
6550,0.908,85-89
6551,0.0,85-89
6552,0.7579,85-89
6553,0.0,85-89
6554,0.5893,85-89
6555,0.9266,85-89
6556,0.0,85-89
6557,0.5994,85-89
6558,0.2732,85-89
6559,0.3182,85-89
6560,0.0,85-89
6561,-0.2773,85-89
6562,0.8779,85-89
6563,0.8225,85-89
6564,0.657,85-89
6565,0.8695,85-89
6566,0.0,85-89
6567,0.4019,85-89
6568,0.8853,85-89
6569,0.5927,85-89
6570,0.3612,85-89
6571,0.2732,85-89
6572,0.7959999999999999,85-89
6573,0.6597,85-89
6574,0.0,85-89
6575,0.0,85-89
6576,0.8689,85-89
6577,0.4767,85-89
6578,0.5046,85-89
6579,-0.2023,85-89
6580,0.4019,85-89
6581,0.34,85-89
6582,0.4118,85-89
6583,0.8529,85-89
6584,0.3612,85-89
6585,0.931,85-89
6586,0.836,85-89
6587,0.0,85-89
6588,0.0,85-89
6589,0.0,85-89
6590,0.6369,85-89
6591,-0.4404,85-89
6592,0.3804,85-89
6593,-0.1406,85-89
6594,0.6731,85-89
6595,0.7845,85-89
6596,0.836,85-89
6597,0.29600000000000004,85-89
6598,0.0,85-89
6599,0.7579,85-89
6600,0.6956,85-89
6601,-0.25,85-89
6602,0.0,85-89
6603,0.2382,85-89
6604,0.0,85-89
6605,0.3182,85-89
6606,0.4019,85-89
6607,0.4404,85-89
6608,0.0,85-89
6609,0.9081,85-89
6610,-0.1868,85-89
6611,0.8412,85-89
6612,-0.25,85-89
6613,0.8271,85-89
6614,0.0,85-89
6615,0.7184,85-89
6616,0.6369,85-89
6617,-0.4215,85-89
6618,0.5106,85-89
6619,0.7269,85-89
6620,0.8074,85-89
6621,0.5106,85-89
6622,0.3506,85-89
6623,0.8047,85-89
6624,0.3182,85-89
6625,0.0,85-89
6626,0.3182,85-89
6627,0.9022,85-89
6628,0.4404,85-89
6629,0.7351,85-89
6630,0.6771,85-89
6631,0.0,85-89
6632,0.0,85-89
6633,-0.3415,85-89
6634,0.0,85-89
6635,0.0,85-89
6636,0.6908,85-89
6637,0.0,85-89
6638,0.0,85-89
6639,0.2263,85-89
6640,-0.4703,85-89
6641,-0.4215,85-89
6642,0.5106,85-89
6643,0.2263,85-89
6644,0.4404,85-89
6645,0.4019,85-89
6646,0.743,85-89
6647,0.4404,85-89
6648,0.3291,85-89
6649,0.6486,85-89
6650,0.2023,85-89
6651,0.8271,85-89
6652,-0.3919,85-89
6653,0.0,85-89
6654,0.4215,85-89
6655,0.5413,85-89
6656,0.8718,85-89
6657,0.1779,85-89
6658,0.0,85-89
6659,0.4951,85-89
6660,0.5859,85-89
6661,0.7783,85-89
6662,0.0258,85-89
6663,0.8151,85-89
6664,0.7178,85-89
6665,0.4404,85-89
6666,-0.3182,85-89
6667,0.0,85-89
6668,0.3818,85-89
6669,0.34,85-89
6670,0.3818,85-89
6671,0.5868,85-89
6672,0.34,85-89
6673,0.0,85-89
6674,0.4404,85-89
6675,0.7184,85-89
6676,0.0,85-89
6677,-0.4588,85-89
6678,0.8176,85-89
6679,0.5267,85-89
6680,0.29600000000000004,85-89
6681,0.7003,85-89
6682,0.8655,85-89
6683,0.0,85-89
6684,-0.3612,85-89
6685,0.4404,85-89
6686,0.8516,85-89
6687,0.7269,85-89
6688,0.5106,85-89
6689,0.7845,85-89
6690,0.5106,85-89
6691,0.7003,85-89
6692,0.968,85-89
6693,0.9118,85-89
6694,0.8462,85-89
6695,0.0258,85-89
6696,0.6249,85-89
6697,-0.09,85-89
6698,-0.25,85-89
6699,0.5423,85-89
6700,0.0,85-89
6701,0.2023,85-89
6702,0.8749,85-89
6703,0.6908,85-89
6704,0.8412,85-89
6705,0.7717,85-89
6706,0.0,85-89
6707,0.6705,85-89
6708,0.4588,85-89
6709,0.3919,85-89
6710,-0.1868,85-89
6711,0.5106,85-89
6712,0.7269,85-89
6713,0.887,85-89
6714,0.1779,85-89
6715,0.743,85-89
6716,0.4391,85-89
6717,0.8658,85-89
6718,0.4939,85-89
6719,0.3956,85-89
6720,0.8126,85-89
6721,0.0,85-89
6722,0.4767,85-89
6723,0.0,85-89
6724,0.0,85-89
6725,0.9489,85-89
6726,0.4404,85-89
6727,0.7845,85-89
6728,0.0,85-89
6729,0.7096,85-89
6730,0.5023,85-89
6731,0.7351,85-89
6732,0.0,85-89
6733,0.4404,85-89
6734,0.8122,85-89
6735,0.3182,85-89
6736,0.5413,85-89
6737,0.5267,85-89
6738,0.34,85-89
6739,0.6551,85-89
6740,0.875,85-89
6741,-0.128,85-89
6742,0.0,85-89
6743,0.7516,85-89
6744,0.1531,85-89
6745,-0.2263,85-89
6746,0.0,85-89
6747,0.4939,85-89
6748,0.2023,85-89
6749,0.0,85-89
6750,0.34,85-89
6751,0.0,85-89
6752,0.1386,85-89
6753,0.7351,85-89
6754,0.4404,85-89
6755,0.0675,85-89
6756,0.3182,85-89
6757,0.0,85-89
6758,0.4215,85-89
6759,0.4404,85-89
6760,0.3182,85-89
6761,0.4588,85-89
6762,0.7935,85-89
6763,0.0,85-89
6764,0.7096,85-89
6765,0.8316,85-89
6766,0.0,85-89
6767,0.6597,85-89
6768,0.8442,85-89
6769,0.7269,85-89
6770,0.765,85-89
6771,0.5228,85-89
6772,0.9186,85-89
6773,0.0,85-89
6774,0.2732,85-89
6775,0.4404,85-89
6776,0.4767,85-89
6777,0.6597,85-89
6778,0.5994,85-89
6779,-0.5719,85-89
6780,0.7096,85-89
6781,0.8185,85-89
6782,0.8107,85-89
6783,0.0258,85-89
6784,0.058,85-89
6785,0.4882,85-89
6786,0.8591,85-89
6787,0.25,85-89
6788,0.0,85-89
6789,0.0,85-89
6790,0.7003,85-89
6791,0.5267,85-89
6792,0.8176,85-89
6793,0.7579,85-89
6794,0.4588,85-89
6795,0.4588,85-89
6796,0.8807,85-89
6797,0.3612,85-89
6798,0.4588,85-89
6799,0.4019,85-89
6800,0.3182,85-89
6801,0.0,85-89
6802,0.29600000000000004,85-89
6803,0.0772,85-89
6804,0.8429,85-89
6805,0.4019,85-89
6806,0.0,85-89
6807,0.7996,85-89
6808,0.7906,85-89
6809,0.4588,85-89
6810,0.3182,85-89
6811,0.8748,85-89
6812,0.34,85-89
6813,0.6908,85-89
6814,0.4019,85-89
6815,-0.0258,85-89
6816,0.2732,85-89
6817,0.4767,85-89
6818,0.0,85-89
6819,0.34,85-89
6820,0.152,85-89
6821,0.0,85-89
6822,0.836,85-89
6823,0.0,85-89
6824,0.0258,85-89
6825,0.5574,85-89
6826,-0.3818,85-89
6827,0.0,85-89
6828,0.775,85-89
6829,0.7096,85-89
6830,0.7811,85-89
6831,0.5423,85-89
6832,0.0,85-89
6833,0.5106,85-89
6834,0.0772,85-89
6835,0.8074,85-89
6836,0.3804,85-89
6837,0.8795,85-89
6838,0.4767,85-89
6839,0.4019,85-89
6840,-0.1695,85-89
6841,0.0,85-89
6842,0.4576,85-89
6843,0.8625,85-89
6844,0.2023,85-89
6845,0.34,85-89
6846,0.0,85-89
6847,0.7906,85-89
6848,-0.128,85-89
6849,0.4767,85-89
6850,0.9042,85-89
6851,0.775,85-89
6852,0.8962,85-89
6853,0.7713,85-89
6854,0.0,85-89
6855,0.7351,85-89
6856,0.2732,85-89
6857,0.0,85-89
6858,-0.0772,85-89
6859,0.3612,85-89
6860,0.936,85-89
6861,0.8176,85-89
6862,0.8442,85-89
6863,0.5106,85-89
6864,0.0,85-89
6865,0.7269,85-89
6866,0.0,85-89
6867,0.7964,85-89
6868,0.3612,85-89
6869,0.34,85-89
6870,0.5267,85-89
6871,0.6808,85-89
6872,0.1531,85-89
6873,0.7501,85-89
6874,0.8625,85-89
6875,-0.2263,85-89
6876,0.7579,85-89
6877,-0.128,85-89
6878,0.9455,85-89
6879,0.3008,85-89
6880,0.8968,85-89
6881,0.2382,85-89
6882,0.2144,85-89
6883,0.7003,85-89
6884,0.5574,85-89
6885,0.8166,85-89
6886,0.0,85-89
6887,0.5789,85-89
6888,-0.1531,85-89
6889,-0.29600000000000004,85-89
6890,0.0,85-89
6891,0.802,85-89
6892,0.1531,85-89
6893,0.5859,85-89
6894,0.9423,85-89
6895,0.8316,85-89
6896,-0.2755,85-89
6897,0.34,85-89
6898,0.1027,85-89
6899,0.0,85-89
6900,0.8591,85-89
6901,0.6124,85-89
6902,0.0,85-89
6903,0.8402,85-89
6904,0.0,85-89
6905,0.0,85-89
6906,0.8934,85-89
6907,0.4939,85-89
6908,0.0,85-89
6909,0.0,85-89
6910,0.4767,85-89
6911,0.7845,85-89
6912,0.5859,85-89
6913,0.8074,85-89
6914,0.4939,85-89
6915,0.5994,85-89
6916,0.5267,85-89
6917,0.7184,85-89
6918,0.5859,85-89
6919,-0.4404,85-89
6920,0.4939,85-89
6921,0.9737,85-89
6922,0.0,85-89
6923,0.5574,85-89
6924,0.9136,85-89
6925,0.6705,85-89
6926,0.6124,85-89
6927,0.0,85-89
6928,0.0,85-89
6929,0.0,85-89
6930,0.0,85-89
6931,0.0,85-89
6932,0.4404,85-89
6933,0.5719,85-89
6934,0.0,85-89
6935,0.0,85-89
6936,0.9136,85-89
6937,0.0,85-89
6938,0.7003,85-89
6939,0.6096,85-89
6940,0.8173,85-89
6941,0.6486,85-89
6942,0.7684,85-89
6943,0.5574,85-89
6944,0.0,85-89
6945,0.765,85-89
6946,0.7906,85-89
6947,0.5859,85-89
6948,0.5574,85-89
6949,-0.25,85-89
6950,0.8959,85-89
6951,0.8231,85-89
6952,0.0258,85-89
6953,0.8271,85-89
6954,0.0,85-89
6955,0.4588,85-89
6956,0.2023,85-89
6957,0.6597,85-89
6958,0.5267,85-89
6959,0.1531,85-89
6960,-0.4767,85-89
6961,0.0,85-89
6962,0.0,85-89
6963,0.0,85-89
6964,0.4767,85-89
6965,0.9442,85-89
6966,0.0,85-89
6967,0.0799,85-89
6968,-0.5849,85-89
6969,0.4497,85-89
6970,0.5574,85-89
6971,0.3182,85-89
6972,0.0,85-89
6973,0.0,85-89
6974,0.8384,85-89
6975,-0.4019,85-89
6976,0.0,85-89
6977,0.2023,85-89
6978,0.0,85-89
6979,0.9081,85-89
6980,0.8074,85-89
6981,0.0,85-89
6982,0.0,85-89
6983,0.29600000000000004,85-89
6984,0.5267,85-89
6985,0.1779,85-89
6986,0.3182,85-89
6987,0.8625,85-89
6988,0.5927,85-89
6989,0.6486,85-89
6990,0.0964,85-89
6991,0.6486,85-89
6992,-0.6908,85-89
6993,0.8316,85-89
6994,0.743,85-89
6995,0.4404,85-89
6996,0.5574,85-89
6997,0.3182,85-89
6998,0.4588,85-89
6999,0.0,85-89
7000,0.0,85-89
7001,0.8686,85-89
7002,0.8442,85-89
7003,0.3612,85-89
7004,0.7906,85-89
7005,0.7269,85-89
7006,0.25,85-89
7007,-0.7264,85-89
7008,0.6486,85-89
7009,0.8231,85-89
7010,0.4215,85-89
7011,-0.4019,85-89
7012,0.4404,85-89
7013,0.0,85-89
7014,0.93,85-89
7015,-0.0772,85-89
7016,0.2144,85-89
7017,0.6597,85-89
7018,0.0,85-89
7019,0.5859,85-89
7020,0.34,85-89
7021,0.7717,85-89
7022,0.0,85-89
7023,0.7717,85-89
7024,0.0,85-89
7025,0.5423,85-89
7026,0.5106,85-89
7027,0.7178,85-89
7028,0.2023,85-89
7029,0.7422,85-89
7030,0.5574,85-89
7031,0.2617,85-89
7032,0.5106,85-89
7033,0.4404,85-89
7034,0.9052,85-89
7035,0.0,85-89
7036,-0.4215,85-89
7037,0.8625,85-89
7038,0.8779,85-89
7039,0.7096,85-89
7040,0.2732,85-89
7041,0.0,85-89
7042,0.836,85-89
7043,0.7906,85-89
7044,-0.3626,85-89
7045,0.6808,85-89
7046,-0.4109,85-89
7047,0.5770000000000001,85-89
7048,0.4019,85-89
7049,0.7162,85-89
7050,0.5267,85-89
7051,0.0,85-89
7052,0.4939,85-89
7053,0.6369,85-89
7054,0.25,85-89
7055,0.9062,85-89
7056,0.4588,85-89
7057,0.0,85-89
7058,0.0,85-89
7059,-0.3818,85-89
7060,0.5859,85-89
7061,0.7964,85-89
7062,0.2732,85-89
7063,0.0,85-89
7064,0.1027,85-89
7065,0.5046,85-89
7066,0.5106,85-89
7067,0.6705,85-89
7068,0.578,85-89
7069,0.8074,85-89
7070,0.7717,85-89
7071,0.4588,85-89
7072,0.34,85-89
7073,-0.3818,85-89
7074,0.0258,85-89
7075,0.34,85-89
7076,0.5574,85-89
7077,0.7351,85-89
7078,0.4588,85-89
7079,-0.1901,85-89
7080,0.7845,85-89
7081,0.7479,85-89
7082,0.4215,85-89
7083,0.8779,85-89
7084,0.0,85-89
7085,0.0,85-89
7086,0.7579,85-89
7087,0.0,85-89
7088,0.0,85-89
7089,0.8519,85-89
7090,0.9509,85-89
7091,0.6369,85-89
7092,0.0,85-89
7093,0.5267,85-89
7094,0.8919,85-89
7095,-0.5267,85-89
7096,-0.0142,85-89
7097,0.6361,85-89
7098,-0.1531,85-89
7099,0.0,85-89
7100,-0.079,85-89
7101,-0.128,85-89
7102,0.6124,85-89
7103,-0.1027,85-89
7104,0.6124,85-89
7105,0.8519,85-89
7106,0.9072,85-89
7107,-0.128,85-89
7108,0.2144,85-89
7109,0.0,85-89
7110,0.5267,85-89
7111,0.7845,85-89
7112,0.9063,85-89
7113,0.2023,85-89
7114,0.0,85-89
7115,0.7269,85-89
7116,0.7425,85-89
7117,0.8074,85-89
7118,0.6486,85-89
7119,-0.2263,85-89
7120,0.1901,85-89
7121,0.4754,85-89
7122,0.0,85-89
7123,0.7096,85-89
7124,0.6213,85-89
7125,0.6486,85-89
7126,0.3182,85-89
7127,0.3612,85-89
7128,0.0516,85-89
7129,0.6249,85-89
7130,-0.431,85-89
7131,0.7574,85-89
7132,0.5267,85-89
7133,0.8689,85-89
7134,0.4423,85-89
7135,0.5859,85-89
7136,0.8555,85-89
7137,-0.4939,85-89
7138,0.29600000000000004,85-89
7139,0.5574,85-89
7140,0.6652,85-89
7141,-0.0129,85-89
7142,0.0,85-89
7143,0.0,85-89
7144,0.2144,85-89
7145,0.4404,85-89
7146,0.0,85-89
7147,0.0,85-89
7148,0.5106,85-89
7149,0.0,85-89
7150,0.8141,85-89
7151,0.3182,85-89
7152,0.8176,85-89
7153,0.2732,85-89
7154,-0.128,85-89
7155,0.9099,85-89
7156,0.0,85-89
7157,-0.2263,85-89
7158,0.7889,85-89
7159,0.0,85-89
7160,0.0,85-89
7161,0.5423,85-89
7162,0.4767,85-89
7163,0.128,85-89
7164,0.29600000000000004,85-89
7165,0.6705,85-89
7166,0.6369,85-89
7167,0.0,85-89
7168,0.9531,85-89
7169,0.7184,85-89
7170,0.8532,85-89
7171,0.5719,85-89
7172,0.7096,85-89
7173,0.0,85-89
7174,0.9136,85-89
7175,0.802,85-89
7176,0.6908,85-89
7177,0.5574,85-89
7178,0.7096,85-89
7179,0.3321,85-89
7180,0.4939,85-89
7181,0.0,85-89
7182,0.7184,85-89
7183,0.7269,85-89
7184,0.0,85-89
7185,0.0772,85-89
7186,0.7845,85-89
7187,0.4404,85-89
7188,0.0,85-89
7189,0.0,85-89
7190,0.0,85-89
7191,0.8316,85-89
7192,0.7184,85-89
7193,0.6369,85-89
7194,0.4404,85-89
7195,0.4767,85-89
7196,0.8357,85-89
7197,0.2023,85-89
7198,0.2732,85-89
7199,0.5994,85-89
7200,0.0,85-89
7201,0.1761,85-89
7202,0.0,85-89
7203,0.7096,85-89
7204,0.0,85-89
7205,0.4767,85-89
7206,0.1655,85-89
7207,0.0,85-89
7208,0.9528,85-89
7209,0.4767,85-89
7210,0.1027,85-89
7211,-0.128,85-89
7212,0.2263,85-89
7213,0.4588,85-89
7214,0.8516,85-89
7215,0.7992,85-89
7216,0.802,85-89
