,polarity,points-category
291,0.0,80-84
292,0.5106,80-84
293,0.0,80-84
294,0.0,80-84
295,0.4404,80-84
296,0.9041,80-84
297,-0.1027,80-84
298,0.6249,80-84
299,0.5267,80-84
300,0.6486,80-84
301,0.5574,80-84
302,0.5434,80-84
303,0.8909999999999999,80-84
304,0.25,80-84
305,0.3384,80-84
306,0.0,80-84
307,0.0,80-84
308,-0.1681,80-84
309,-0.1027,80-84
310,-0.4939,80-84
311,-0.3818,80-84
312,0.0,80-84
313,0.4588,80-84
314,-0.5499,80-84
315,0.8297,80-84
316,0.6597,80-84
317,0.4939,80-84
318,0.34,80-84
319,0.0,80-84
320,0.0,80-84
321,0.0516,80-84
322,0.0,80-84
323,0.0,80-84
324,0.6486,80-84
325,-0.4019,80-84
326,-0.5023,80-84
327,0.0258,80-84
328,0.2263,80-84
329,0.0,80-84
330,0.802,80-84
331,0.6003,80-84
332,-0.6486,80-84
333,0.0,80-84
334,0.0,80-84
335,-0.1531,80-84
336,0.4588,80-84
337,-0.5719,80-84
338,0.7003,80-84
339,0.0,80-84
340,0.3182,80-84
341,0.3041,80-84
342,0.0516,80-84
343,0.0,80-84
344,0.2023,80-84
345,0.3182,80-84
346,0.0,80-84
347,-0.0772,80-84
348,0.4939,80-84
349,-0.3818,80-84
350,0.0,80-84
351,0.4033,80-84
352,0.4215,80-84
353,-0.4215,80-84
354,0.6486,80-84
355,0.5106,80-84
356,0.5106,80-84
357,0.0,80-84
358,0.0,80-84
359,0.0,80-84
360,0.0,80-84
361,-0.4439,80-84
362,0.0,80-84
363,0.0,80-84
364,0.0,80-84
365,0.6705,80-84
366,-0.35700000000000004,80-84
367,0.0,80-84
368,-0.1787,80-84
369,0.3716,80-84
370,0.3612,80-84
371,0.0,80-84
372,0.5095,80-84
373,0.2811,80-84
374,0.2732,80-84
375,-0.2912,80-84
376,-0.1406,80-84
377,0.0258,80-84
378,0.0,80-84
379,0.0,80-84
380,0.0258,80-84
381,0.0,80-84
382,-0.29600000000000004,80-84
383,0.0,80-84
384,0.5023,80-84
385,0.431,80-84
386,0.6486,80-84
387,-0.128,80-84
388,0.1531,80-84
389,0.0,80-84
390,-0.0772,80-84
391,-0.5267,80-84
392,0.4767,80-84
